TIMESTAMP        work2-RQ         work2-RD         work2-WR         
1368.000000       5.545454          0.001762          0.001127         
1378.000000       6.100000          0.001938          0.001240         
1388.000000       6.100000          0.001938          0.001240         
1399.000000       5.545454          0.001762          0.001127         
1409.000000       6.100000          0.001938          0.001240         
1419.000000       6.100000          0.001938          0.001240         
1429.000000       6.400000          0.001938          0.001240         
1440.000000       5.545454          0.001762          0.001127         
1450.000000       6.100000          0.001938          0.001240         
1460.000000       6.100000          0.001938          0.001240         
1470.000000       6.100000          0.001938          0.001240         
1481.000000       31.636363         0.024847          0.033527         
1491.000000       6.400000          0.002214          0.001378         
1502.000000       6.090909          0.002013          0.001252         
1512.000000       6.400000          0.002214          0.001378         
1522.000000       6.400000          0.002214          0.001378         
1532.000000       6.400000          0.002214          0.001378         
1543.000000       5.818181          0.002013          0.001252         
1553.000000       6.400000          0.002215          0.001378         
1563.000000       6.400000          0.002215          0.001378         
1573.000000       6.400000          0.002215          0.001378         
1584.000000       6.090909          0.002013          0.001253         
1594.000000       6.400000          0.002215          0.001378         
1604.000000       6.400000          0.002215          0.001378         
1615.000000       5.818181          0.002013          0.001253         
1625.000000       6.400000          0.002215          0.001378         
1635.000000       6.400000          0.002215          0.001378         
1645.000000       6.400000          0.002215          0.001378         
1656.000000       6.090909          0.002013          0.001253         
1666.000000       6.400000          0.002215          0.001378         
1676.000000       6.400000          0.002215          0.001378         
1687.000000       5.818181          0.002013          0.001253         
1697.000000       6.400000          0.002215          0.001378         
1707.000000       6.400000          0.002215          0.001378         
1718.000000       33.181818         0.025849          0.026708         
1728.000000       34.400000         0.027174          0.013863         
1738.000000       6.100000          0.001938          0.001240         
1749.000000       5.545454          0.001762          0.001127         
1759.000000       6.100000          0.001938          0.001240         
1769.000000       6.100000          0.001938          0.001240         
1780.000000       5.545454          0.001762          0.001127         
1790.000000       6.100000          0.001938          0.001240         
1800.000000       6.100000          0.001938          0.001240         
1810.000000       6.400000          0.001938          0.001240         
1821.000000       5.545454          0.001762          0.001127         
1831.000000       6.100000          0.001938          0.001240         
1841.000000       7.000000          0.085717          0.004013         
1851.000000       6.100000          0.001938          0.001240         
1862.000000       5.545454          0.001762          0.001127         
1872.000000       6.100000          0.001938          0.001240         
1882.000000       6.400000          0.001938          0.001240         
1893.000000       5.545454          0.001762          0.001127         
1903.000000       6.100000          0.001938          0.001240         
1913.000000       6.100000          0.001938          0.001240         
1923.000000       6.100000          0.001938          0.001240         
1934.000000       5.545454          0.001762          0.001127         
1944.000000       6.100000          0.001938          0.001240         
1954.000000       6.400000          0.001938          0.001240         
1964.000000       6.100000          0.001938          0.001240         
1975.000000       5.545454          0.001762          0.001127         
1985.000000       6.100000          0.001938          0.001240         
1995.000000       6.100000          0.001938          0.001240         
2006.000000       5.545454          0.001762          0.001127         
2016.000000       6.100000          0.001938          0.001240         
2026.000000       6.400000          0.001938          0.001240         
2036.000000       6.100000          0.001938          0.001240         
2047.000000       5.545454          0.001762          0.001127         
2057.000000       6.100000          0.001938          0.001240         
2067.000000       6.100000          0.001938          0.001240         
2077.000000       6.100000          0.001938          0.001240         
2088.000000       5.545454          0.001762          0.001127         
2098.000000       6.100000          0.001938          0.001240         
2108.000000       6.400000          0.001938          0.001240         
2119.000000       6.818181          0.002013          0.021924         
2129.000000       6.400000          0.002214          0.001378         
2139.000000       6.400000          0.002214          0.001378         
2149.000000       6.400000          0.002215          0.001378         
2160.000000       5.818181          0.002013          0.001253         
2170.000000       6.400000          0.002215          0.001378         
2180.000000       6.700000          0.002215          0.001378         
2190.000000       6.400000          0.002215          0.001378         
2201.000000       5.818181          0.002013          0.001253         
2211.000000       6.400000          0.002215          0.001378         
2221.000000       6.400000          0.002215          0.001378         
2232.000000       5.818181          0.002013          0.001253         
2242.000000       6.400000          0.002215          0.001378         
2252.000000       6.800000          0.002215          0.001378         
2262.000000       6.400000          0.002215          0.001378         
2273.000000       5.818181          0.002013          0.001253         
2283.000000       6.400000          0.002215          0.001378         
2293.000000       6.400000          0.002215          0.001378         
2304.000000       5.818181          0.002013          0.001253         
2314.000000       6.400000          0.002215          0.001378         
2324.000000       6.400000          0.002215          0.001378         
2334.000000       6.700000          0.002215          0.001378         
2345.000000       7.272727          0.002013          0.015458         
2355.000000       6.100000          0.001938          0.001240         
2365.000000       6.100000          0.001938          0.001240         
2376.000000       5.545454          0.001762          0.001127         
2386.000000       6.100000          0.001938          0.001240         
2396.000000       6.100000          0.001938          0.001240         
2406.000000       6.400000          0.001938          0.001240         
2417.000000       5.545454          0.001762          0.001127         
2427.000000       6.100000          0.001938          0.001240         
2437.000000       6.100000          0.001938          0.001240         
2447.000000       6.100000          0.001938          0.001240         
2458.000000       5.545454          0.001762          0.001127         
2468.000000       6.100000          0.001938          0.001240         
2478.000000       6.500000          0.001938          0.001240         
2489.000000       5.545454          0.001762          0.001127         
2499.000000       7.000000          0.085717          0.004013         
2509.000000       6.100000          0.001938          0.001240         
2519.000000       6.100000          0.001938          0.001240         
2530.000000       5.545454          0.001762          0.001127         
2540.000000       6.100000          0.001938          0.001240         
2550.000000       6.100000          0.001938          0.001240         
2560.000000       6.400000          0.001938          0.001240         
2571.000000       5.545454          0.001762          0.001127         
2581.000000       6.100000          0.001938          0.001240         
2591.000000       6.100000          0.001938          0.001240         
2602.000000       5.545454          0.001762          0.001127         
2612.000000       6.100000          0.001938          0.001240         
2622.000000       6.100000          0.001938          0.001240         
2632.000000       6.400000          0.001938          0.001240         
2643.000000       5.545454          0.001762          0.001127         
2653.000000       6.100000          0.001938          0.001240         
2663.000000       6.100000          0.001938          0.001240         
2673.000000       6.100000          0.001938          0.001240         
2684.000000       5.545454          0.001762          0.001127         
2694.000000       6.100000          0.001939          0.001240         
2704.000000       6.400000          0.001939          0.001240         
2714.000000       6.100000          0.001939          0.001240         
2725.000000       5.545454          0.001762          0.001127         
2735.000000       6.100000          0.001939          0.001240         
2745.000000       6.100000          0.001939          0.001240         
2755.000000       6.100000          0.001939          0.001240         
2766.000000       5.545454          0.001762          0.001127         
2776.000000       6.400000          0.001939          0.001240         
2786.000000       6.100000          0.001939          0.001240         
2797.000000       5.545454          0.001762          0.001127         
2807.000000       7.500000          0.002215          0.024106         
2817.000000       6.400000          0.002215          0.001378         
2827.000000       6.400000          0.002215          0.001378         
2838.000000       5.818181          0.002013          0.001253         
2848.000000       6.400000          0.002215          0.001378         
2858.000000       6.700000          0.002215          0.001378         
2868.000000       6.400000          0.002215          0.001378         
2879.000000       5.818181          0.002013          0.001253         
2889.000000       6.400000          0.002215          0.001378         
2899.000000       6.400000          0.002215          0.001378         
2910.000000       5.818181          0.002013          0.001253         
2920.000000       6.400000          0.002215          0.001378         
2930.000000       6.700000          0.002215          0.001378         
2940.000000       6.400000          0.002215          0.001378         
2951.000000       5.818181          0.002013          0.001253         
2961.000000       6.400000          0.002215          0.001378         
2971.000000       6.400000          0.002215          0.001378         
2981.000000       6.400000          0.002215          0.001378         
2992.000000       5.818181          0.002013          0.001253         
3002.000000       6.800000          0.002215          0.001378         
3012.000000       6.400000          0.002215          0.001378         
3023.000000       5.818181          0.002013          0.001253         
3033.000000       6.400000          0.002215          0.001378         
3043.000000       7.600000          0.001109          0.015930         
