#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072967 898614929 769430474 238016383 209346617 83584042 76885504 825600 930308 91187.22 93843.75 3935.24 2883.64
1669072977 898614929 769430474 238016383 209346617 83584093 76885552 825600 930308 91187.92 93842.04 3933.95 2885.96
1669072987 898614929 769430474 238016383 209346617 83584141 76885606 825600 930308 91188.73 93841.21 3933.17 2886.31
1669072998 898614929 769430474 238016383 209346617 83584190 76885656 825600 930308 91187.84 93842.41 3933.48 2886.05
1669073008 898614929 769430474 238016383 209346617 83584240 76885708 825600 930308 91187.12 93841.92 3933.71 2886.07
1669073018 898614929 769430474 238016383 209346617 83584290 76885758 825600 930308 91187.70 93841.91 3933.80 2886.46
1669073029 898614929 769430474 238016383 209346617 83584354 76885810 825600 930308 91188.20 93842.76 3933.12 2885.14
1669073039 898614929 769430474 238016383 209346617 83584373 76885909 825600 930308 91188.82 93841.11 3932.50 2885.82
1669073049 898614929 769430474 238016383 209346617 83584392 76886007 825600 930308 91188.77 93841.41 3932.55 2886.00
1669073059 898614929 769430474 238016383 209346617 83584412 76886105 825600 930308 91188.71 93841.15 3932.61 2887.34
1669073070 898614941 769430484 238016383 209346617 83584427 76886206 825600 930308 91185.04 93846.25 3936.28 2882.19
1669073080 898614941 769430484 238016383 209346617 83584508 76886241 825600 930308 91181.48 93848.19 3939.98 2879.67
1669073090 898614942 769430484 238016383 209346617 83584598 76886261 825600 930308 91184.25 93846.87 3937.07 2881.52
1669073100 898614942 769430484 238016383 209346617 83584614 76886356 825600 930308 91184.58 93846.68 3936.74 2882.23
1669073111 898614942 769430484 238016383 209346617 83584626 76886456 825600 930308 91185.02 93845.79 3936.30 2881.59
1669073121 898614942 769430484 238016383 209346617 83584636 76886555 825600 930308 91185.77 93846.16 3935.55 2883.29
