#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1669074199        0.109550          0.109550          0.003124          0.003124          0.000000          180.695000        0.003124         
1669074209        0.109550          0.109550          0.003128          0.003128          0.000000          180.695000        0.003128         
1669074220        0.109550          0.109550          0.003128          0.003128          0.000000          180.696000        0.003128         
1669074230        0.109550          0.109550          0.003128          0.003128          0.000000          180.694000        0.003128         
1669074240        0.109550          0.109550          0.003128          0.003128          0.000000          180.696000        0.003128         
1669074251        0.109550          0.109550          0.003128          0.003128          0.000000          180.698000        0.003128         
1669074261        0.109550          0.109550          0.003128          0.003128          0.000000          180.697000        0.003128         
1669074271        0.109550          0.109550          0.003128          0.003128          0.000000          180.696000        0.003128         
1669074281        0.109550          0.109550          0.003128          0.003128          0.000000          180.695000        0.003128         
1669074292        0.109550          0.109550          0.003128          0.003128          0.000000          180.693000        0.003128         
1669074302        0.109550          0.109550          0.003128          0.003128          0.000000          180.694000        0.003128         
1669074312        0.109550          0.109550          0.003128          0.003128          0.000000          180.693000        0.003128         
