TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch-RQ       scratch-RD       scratch-WR       
1669073307        0                0                 0                0                 0                0                 0                0                 0                
1669073317        0                0                 0                0                 0                0                 0                0                 0                
1669073327        0                0                 0                0                 0                0                 0                0                 0                
1669073337        0                0                 0                0                 0                0                 0                0                 0                
1669073348        0                0                 0                0                 0                0                 0                0                 0                
1669073358        0                0                 0                0                 0                0                 0                0                 0                
1669073368        0                0                 0                0                 0                0                 0                0                 0                
1669073379        0                0                 0                0                 0                0                 0                0                 0                
1669073389        0                0                 0                0                 0                0                 0                0                 0                
1669073399        0                0                 0                0                 0                0                 0                0                 0                
1669073409        0                0                 0                0                 0                0                 0                0                 0                
1669073420        0                0                 0                0                 0                0                 0                0                 0                
1669073430        0                0                 0                0                 0                0                 0                0                 0                
1669073440        0                0                 0                0                 0                0                 0                0                 0                
1669073451        0                0                 0                0                 0                0                 0                0                 0                
1669073461        0                0                 0                0                 0                0                 0                0                 0                
1669073471        0                0                 0                0                 0                0                 0                0                 0                
1669073481        0                0                 0                0                 0                0                 0                0                 0                
1669073492        0                0                 0                0                 0                0                 0                0                 0                
1669073502        0                0                 0                0                 0                0                 0                0                 0                
1669073512        0                0                 0                0                 0                0                 0                0                 0                
1669073522        0                0                 0                0                 0                0                 0                0                 0                
1669073533        0                0                 0                0                 0                0                 0                0                 0                
1669073543        0                0                 0                0                 0                0                 0                0                 0                
1669073553        0                0                 0                0                 0                0                 0                0                 0                
1669073564        0                0                 0                0                 0                0                 0                0                 0                
1669073574        0                0                 0                0                 0                0                 0                0                 0                
1669073584        0                0                 0                0                 0                0                 0                0                 0                
1669073595        0                0                 0                0                 0                0                 0                0                 0                
1669073605        0                0                 0                0                 0                0                 0                0                 0                
1669073615        0                0                 0                0                 0                0                 0                0                 0                
1669073625        0                0                 0                0                 0                0                 0                0                 0                
1669073636        0                0                 0                0                 0                0                 0                0                 0                
1669073646        0                0                 0                0                 0                0                 0                0                 0                
1669073656        0                0                 0                0                 0                0                 0                0                 0                
1669073666        0                0                 0                0                 0                0                 0                0                 0                
1669073677        0                0                 0                0                 0                0                 0                0                 0                
1669073687        0                0                 0                0                 0                0                 0                0                 0                
1669073697        0                0                 0                0                 0                0                 0                0                 0                
1669073708        0                0                 0                0                 0                0                 0                0                 0                
1669073718        0                0                 0                0                 0                0                 0                0                 0                
1669073728        0                0                 0                0                 0                0                 0                0                 0                
1669073738        0                0                 0                0                 0                0                 0                0                 0                
1669073749        0                0                 0                0                 0                0                 0                0                 0                
1669073759        0                0                 0                0                 0                0                 0                0                 0                
1669073769        0                0                 0                0                 0                0                 0                0                 0                
1669073780        0                0                 0                0                 0                0                 0                0                 0                
1669073790        0                0                 0                0                 0                0                 0                0                 0                
1669073800        0                0                 0                0                 0                0                 0                0                 0                
1669073810        0                0                 0                0                 0                0                 0                0                 0                
1669073821        0                0                 0                0                 0                0                 0                0                 0                
1669073831        0                0                 0                0                 0                0                 0                0                 0                
1669073841        0                0                 0                0                 0                0                 0                0                 0                
1669073852        0                0                 0                0                 0                0                 0                0                 0                
1669073862        0                0                 0                0                 0                0                 0                0                 0                
1669073872        0                0                 0                0                 0                0                 0                0                 0                
1669073882        0                0                 0                0                 0                0                 0                0                 0                
1669073893        0                0                 0                0                 0                0                 0                0                 0                
1669073903        0                0                 0                0                 0                0                 0                0                 0                
1669073913        0                0                 0                0                 0                0                 0                0                 0                
1669073924        0                0                 0                0                 0                0                 0                0                 0                
1669073934        0                0                 0                0                 0                0                 0                0                 0                
